Feature Id,Importances
start_cluster_x,18.89931366865567
okved_x,6.125695638322179
start_cluster,5.053829087423977
start_cluster_y,4.779901080495074
sum_deb_e_oper_3m_x,2.567872658476861
balance_amt_min_x,2.4582460187215145
sum_cred_e_oper_1m_x,2.276931024788293
balance_amt_max_x,2.2664235944684044
channel_code_x,2.2484014300676174
segment_x,2.172422333862075
sum_cred_e_oper_3m_x,2.1013513204330576
city,1.9885190171807647
sum_deb_h_oper_3m_x,1.7105870325189647
cnt_cred_e_oper_3m_x,1.7040476467014563
index_city_code_x,1.660766791881425
min_founderpres,1.541671022513574
balance_amt_day_avg_x,1.4288473555262562
b_amt_min_trend,1.3832461364898065
sum_deb_e_oper_1m_x,1.3758426223237359
cnt_days_deb_h_oper_1m_x,1.365518573266914
sum_of_paym_1y_x,1.3471571156087823
balance_amt_max_y,1.2611698976477315
balance_amt_min,1.175751400401362
index_city_code,1.14290024691024
cnt_days_cred_e_oper_1m_x,1.1317557713571365
cnt_deb_h_oper_1m_x,1.1203382403907822
sum_cred_e_oper_3m_y,1.1100460546599076
ft_registration_date_x,1.031689185255274
index_city_code_y,0.9992508462549455
min_founderpres_x,0.9465298646458092
sum_cred_h_oper_3m,0.9271931843052784
cnt_b_oper_1m_x,0.8849500857885945
cnt_cred_e_oper_1m_x,0.794370532703126
sum_of_paym_1y,0.7764911786184036
sum_deb_e_oper_3m,0.7668979406708125
balance_amt_day_avg_y,0.7363578881548127
balance_amt_min_y,0.7332971909380239
cnt_days_deb_e_oper_1m_x,0.7315537845494894
balance_amt_avg_y,0.729239757622318
sum_deb_e_oper_3m_trend_long,0.7103421495743553
balance_amt_avg,0.6983248606000865
cnt_days_deb_e_oper_3m,0.687716841796327
cnt_a_oper_1m_x,0.6850960855675988
sm_cred_e_op_trend_3m,0.6611977975625862
okved_y,0.6587530959439813
sum_of_paym_1y_y,0.6414942499184303
channel_code,0.6296432669794244
cnt_a_oper_3m_y,0.627380075125896
sum_cred_h_oper_3m_y,0.6242635321125231
ogrn_year_y,0.6122670201307201
sum_a_oper_3m_x,0.6073905656724048
okved,0.5978338429767491
sum_deb_g_oper_1m_x,0.5920117872537289
segment,0.583133369512989
max_founderpres_x,0.5346131728288308
cnt_cred_h_oper_3m,0.5341816514624261
sum_of_paym_2m_y,0.5284032398355207
channel_code_y,0.526672315545808
cnt_b_oper_1m_y,0.5132801907213276
ogrn_exist_months_x,0.44159620183652915
sum_deb_h_oper_1m_x,0.4246618185223997
ogrn_year_x,0.4078976235522846
ogrn_days_end_quarter_x,0.3712761791382695
sum_cred_e_oper_1m_trend_short,0.35168025153400334
sm_deb_e_op_trend_1m,0.3444325125523809
ogrn_year,0.2683491207675281
balance_amt_avg_x,0.244220199374785
sum_deb_h_oper_1m_y,0.24395268446596333
cnt_deb_f_oper_1m_x,0.24148336434500428
cnt_a_oper_3m_x,0.21876276249141752
b_amt_avg_trend,0.19114972013558396
sum_of_paym_2m_x,0.1733070092543788
ogrn_exist_months_y,0.13463106147209591
ogrn_month_y,0.09916837916421252
mx_founder_trend,0.07239511665147916
cnt_cred_h_oper_3m_y,0.042556754041619176
ft_registration_date_y,0.015866983976469445
segment_y,0.002238925001308694
sum_deb_e_oper_3m_y,0.0
ogrn_exist_months,0.0
